latitude,longitude
48.1688,15.6714
48.1332,15.8006
48.0975,15.9295
48.0735,16.0155
48.0375,16.1441
47.9772,16.3581
47.9041,16.6142
47.8551,16.7846
47.8182,16.9121
47.7686,17.0818
47.7313,17.2088
47.6939,17.3357
47.6563,17.4624
47.6185,17.5889
47.517,17.9254
47.4658,18.0931
47.4273,18.2186
47.3497,18.4691
47.3107,18.5941
47.2716,18.7188
47.2454,18.8019
47.206,18.9263
47.14,19.1333
47.0737,19.3397
47.0068,19.5456
46.9666,19.6688
46.9262,19.7919
46.8991,19.8739
46.8585,19.9966
46.8177,20.1191
46.7493,20.3229
46.6944,20.4856
46.653,20.6074
46.6115,20.7289
46.5698,20.8503
46.5419,20.9311
46.4299,21.2535
46.3593,21.4542
46.3168,21.5744
46.2742,21.6944
46.2314,21.8142
46.1884,21.9338
46.1597,22.0134
46.1166,22.1327
46.0733,22.2518
46.0443,22.3311
46.0008,22.4498
45.9571,22.5684
45.9133,22.6867
45.8841,22.7655
45.84,22.8835
45.7959,23.0014
45.7664,23.0798
45.722,23.1973
45.6477,23.3927
45.5281,23.7042
45.4075,24.0144
45.3317,24.2075
45.3013,24.2846
45.2556,24.4001
45.179,24.5921
45.1329,24.707
45.1021,24.7836
44.9162,25.2409
44.8693,25.3548
44.8224,25.4684
44.7753,25.5818
44.7439,25.6573
44.5541,26.1086
44.5223,26.1835
44.4744,26.2957
44.201,26.9278
